year,julian_day,standard_time,leaftemp,GW,leaf_air_temp_diff
2023,213,5,25.554279029391,1e-05,-1.52586097060902
2023,213,6,24.3589445036983,1e-05,-2.57206549630166
2023,213,7,27.0400560259964,0.155606941077055,-1.78216397400363
2023,213,8,29.257090032951,0.26567007560028,-1.36142996704902
2023,213,9,30.4530810756649,0.305429129974728,-1.6366489243351
2023,213,10,31.247591318357,0.324804262399498,-2.00590868164299
2023,213,11,33.3296137055405,0.330244998467337,-1.76377629445954
2023,213,12,34.7519375311116,0.321881215367849,-1.91194246888838
2023,213,13,35.3024735523635,0.315649667754175,-2.29878644763651
2023,213,14,35.486335591053,0.29421329852894,-2.853494408947
2023,213,15,36.0905205478,0.270481183903705,-2.9540694522
2023,213,16,36.9254798980487,0.253492871087926,-2.58909010195126
2023,213,17,36.6014053764741,0.204493253394054,-2.75491462352592
2023,213,18,36.6503240197752,0.115137470639223,-2.52851598022485
2023,213,19,36.7046033348925,1e-05,-1.35670666510747
2023,213,20,35.7766779791538,1e-05,-1.29610202084623
2023,213,21,34.4132895279029,1e-05,-2.1382204720971
2023,213,22,24.9012573339859,1e-05,-10.5115126660141
2023,213,23,32.3437115419959,1e-05,-2.01417845800415
2023,214,0,33.7080100129681,1e-05,-1.21284998703189
2023,214,1,33.2137255151647,1e-05,-1.14171448483533
2023,214,2,32.8944673422902,1e-05,-0.945962657709799
2023,214,3,32.24909029109,1e-05,-1.09305970891
2023,214,4,31.9870970446178,1e-05,-1.00524295538218
2023,214,5,31.5249115148091,1e-05,-1.04342848519093
2023,214,6,21.9017209521871,1e-05,-9.96630904781295
2023,214,7,29.876486126859,0.10975976925622,-2.72814387314099
2023,214,8,31.7208515572926,0.226061899179573,-2.65895844270739
2023,214,9,32.5484323474472,0.27641896355959,-2.51054765255282
2023,214,10,33.6331342287323,0.305946720299504,-2.1502157712677
2023,214,11,33.8617387955879,0.299029669995684,-3.15464120441212
2023,214,12,35.4240398064191,0.314088695843028,-2.65397019358091
2023,214,13,36.5331496614636,0.264627845356648,-3.13946033853642
