Year,Day,Hour,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,D_kPa,RH_Perc
2023,203,20,0.0,0.25,1.708333,41.27249,6.832812862142319,13.48928
2023,203,21,0.0,0.0,1.625667,40.86066,6.6559224694668355,13.8723
2023,203,22,0.0,0.25,0.6409,39.85554,6.202974698246658,15.32559
2023,203,23,0.0,0.25,3.193667,36.77354,4.730015840800024,23.74362
2023,204,00,0.0,6.32,3.940333,33.17683,3.4674732192672915,31.78979
2023,204,01,0.0,0.25,2.316333,31.65544,2.9397978962222164,36.99023
2023,204,02,0.0,0.25,1.703,31.81832,3.05844878374133,35.04942
2023,204,03,0.0,0.25,1.251867,31.84092,3.103594198667559,34.17499
2023,204,04,0.0,0.0,0.1278333,31.48617,3.0082755824598157,34.90029
2023,204,05,0.0,0.0,0.2434333,30.97327,2.860930456286026,36.25599
2023,204,06,9.299781181619256,6.32,0.0,30.18922,2.629466606962863,38.72789
2023,204,07,71.1159737417943,0.25,0.0,32.56622,3.2339091573369756,34.16369
2023,204,08,100.10940919037199,0.25,0.9878666,33.66879,3.56087320766479,31.8547
2023,204,09,225.9299781181619,0.25,1.247,35.75719,4.3056949077906275,26.60842
2023,204,10,333.15098468271333,0.0,1.215,36.57027,4.523607815439653,26.2568
2023,204,11,369.2560175054704,0.25,1.615,38.10953,5.227287112936627,21.62707
2023,204,12,160.83150984682712,6.83,1.174533,38.17046,5.282164203339609,21.0647
2023,204,13,390.0437636761488,0.25,2.185667,40.20126,6.13138193300629,17.83147
2023,204,14,353.9387308533917,0.25,2.193667,40.78608,6.432105200115925,16.4388
2023,204,15,308.53391684901527,0.51,1.791,41.45925,6.736099811143347,15.55065
2023,204,16,234.13566739606125,0.25,1.3441,41.51565,6.7299093638783685,15.87892
2023,204,17,163.5667396061269,0.25,1.347867,41.70552,6.831057099801995,15.46485
2023,204,18,80.96280087527352,6.57,2.073667,41.44337,6.6967261695938785,15.97389
2023,204,19,19.14660831509847,0.0,1.170767,40.56924,6.336459825019485,16.72868
2023,204,20,0.0,0.25,2.228333,39.48326,5.913027868964753,17.66118
2023,204,21,0.0,0.0,1.919,38.62019,5.574411319513964,18.69441
2023,204,22,0.0,0.25,1.897667,38.02283,5.4103768025839685,18.50074
2023,204,23,0.0,0.0,1.831,37.31332,5.081235361189876,20.45568
2023,205,00,0.0,6.57,1.569667,36.40103,4.725087038264627,22.25575
