year,julian-day,standard-time,leaftemp,GW,leaf-air-temp-diff
2023,209,18,40.4376179577279,0.114635939600925,-2.71336204227212
2023,209,19,40.6494652591547,0.0725478348852142,-1.49697474084532
2023,209,20,39.8468624816553,1e-05,-1.09098751834466
2023,209,21,37.4400009685827,1e-05,-1.98341903141733
2023,209,22,36.9478691216904,1e-05,-1.45449087830965
2023,209,23,34.1848589417373,1e-05,-1.15780105826272
2023,210,0,33.4988028378521,1e-05,-1.23236716214794
2023,210,1,30.0660362481491,1e-05,-3.80889375185094
2023,210,2,33.1959317233629,1e-05,-1.16812827663712
2023,210,3,23.0225623504137,1e-05,-10.2431976495863
2023,210,4,32.4880552731015,1e-05,-1.1852847268985
2023,210,5,32.3375536904125,1e-05,-1.32903630958747
2023,210,6,27.4814502535653,1e-05,-5.36491974643473
2023,210,7,29.818141210247,0.0522841983545598,-3.810778789753
2023,210,8,31.8098489798449,0.130095396992549,-2.06547102015507
2023,210,9,33.2851288342359,0.305173329352989,-3.23653116576414
2023,210,10,33.698498895413,0.278993306187147,-3.16504110458699
2023,210,11,35.7769425111258,0.355869280130394,-2.87932748887425
2023,210,12,36.6668937163751,0.343959052995648,-3.41445628362488
2023,210,13,37.5905174906285,0.326614526022927,-3.27913250937151
2023,210,14,38.5175680222124,0.305829150014778,-3.3120519777876
2023,210,15,39.4903564359302,0.27576342042794,-3.13444356406984
2023,210,16,39.57803227953,0.246918425237759,-3.65651772047003
2023,210,17,39.0524238862953,0.204638268819796,-3.78038611370473
2023,210,18,40.1301089454508,0.134759592670726,-3.0555610545492
2023,210,19,41.1743261997098,0.0082602603168649,-1.08219380029016
2023,210,20,39.9035861118656,1e-05,-1.2351638881344
2023,210,21,39.5917727108458,1e-05,-1.1570572891542
2023,210,22,36.9744706464961,1e-05,-2.50605935350392
2023,210,23,37.3853201941025,1e-05,-1.41760980589755
2023,211,0,35.6916586103303,1e-05,-2.18836138966967
2023,211,1,36.3218576485833,1e-05,-1.97790235141672
2023,211,2,31.2706793964124,1e-05,-5.96125060358759
2023,211,3,31.2189306523869,1e-05,-4.26969934761306
2023,211,4,34.3777406488813,1e-05,-1.07764935111865
2023,211,5,30.2687059872867,1e-05,-4.2973740127133
2023,211,6,29.5632457607439,1e-05,-4.52252423925607
2023,211,7,32.6547777262092,0.0419313686252277,-1.21088227379076
2023,211,8,31.7766325381107,0.164096740884261,-2.02739746188929
2023,211,9,32.4684570269799,0.282993383699049,-2.1997029730201
2023,211,10,34.0498311299731,0.364348183149366,-2.18663887002685
2023,211,11,33.3758968945742,0.272849067461374,-2.56187310542578
2023,211,12,34.4267626780588,0.329534744158148,-2.37725732194117
2023,211,13,35.3490681349124,0.350013038171158,-2.58648186508763
2023,211,14,36.5191092416661,0.345840834228393,-2.88914075833392
2023,211,15,35.1441303042967,0.306216259825489,-4.99602969570333
2023,211,16,37.4792388398892,0.276186805089856,-3.5874811601108
2023,211,17,38.2946924542141,0.218600970905987,-3.57334754578589
2023,211,18,38.1570882619528,0.140308100657992,-3.31889173804722
2023,211,19,38.477110540569,1e-05,-1.71520945943099
2023,211,20,27.6628190028178,1e-05,-11.1319009971822
2023,211,21,35.9996187386986,1e-05,-1.41313126130141
