year,julian-day,standard-time,solar,rain,wind,T-air,T-soil,D-MD,P0,P1,P2,P3,P4,P5,P-PD,P-MD,E-MD,GW,leaf-air-vpd,leaftemp,leaf-air-temp-diff,Anet-la,ci,PPFD,S-P-MD,S-E-MD,S-GW,S-leaf-air-vpd,S-leaftempt,S-Anet-la,S-ci,S-PPFD,S-E-tree,Anet-tree,Pcrit,Ecrit,P-leaf,P-stem,P-root,K-stem,K-leaf,K-plant,K-xylem,K-root-1,K-root-2,K-root-3,K-root-4,K-root-5,K-root-all,E-root-1,E-root-2,E-root-3,E-root-4,E-root-5,water-content,water-content-delta,end-rain,end-ground-water,end-E,end-drainage,end-soil-evap,end-ET,end-Anet-la,end-total-water-input,end-PLC-plant,end-PLC-xylem,end-runoff
2023,201,0,0.0,6.57,1.01,36.498,34.13,4.600884120111,0.099574265506,0.099574265506,0,0,0,0,0.115434265506,0.115434265506,0.0,0.0,4.159297276878,35.129964354727,-1.368035645273,-1.894590666645,40.626201705389,0.0,0.115434265506,0.0,0.0,4.479001696837,36.129863149904,-2.030557754466,40.626201705389,0.0,0.0,-1.962574210556,3.002150703918,8.343024763059,0.115434265506,0.115434265506,0.099574265506,741.175659989728,741.175659989728,0.0,185.29445749708,370.589999999808,0,0,0,0,370.589999999808,0.0,0,0,0,0,51.723521454344,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023,201,1,0.0,0.25,0.5,34.624,32.68,4.072462328802,0.009998817359,0.081915559136,0,0,0,0,0.097775559136,0.097775559136,0.0,0.0,3.544257515457,32.802471329275,-1.821528670725,-1.612318629163,40.626201705389,0.0,0.097775559136,0.0,0.0,3.928356417493,34.143625920782,-1.7693903243,40.626201705389,0.0,0.0,-1.690854476732,0.097775559136,0.0,0.097775559136,0.097775559136,0.081915559136,741.175659989728,741.175659989728,0.0,185.29445749708,370.589999999808,0,0,0,0,370.589999999808,0.0,0,0,0,0,58.273014754017,6.549493299673,6.57,0,0.0,0.0,0.020506700327,0.020506700327,-7.065267158,6.57,0.0,0.0,0
2023,201,2,0.0,0.25,0.4515,30.874,31.31,3.128441054066,0.009998817359,0.081178290344,0,0,0,0,0.097038290344,0.097038290344,0.0,0.0,2.681727278586,29.005930647864,-1.868069352136,-1.239263359788,40.626201705389,0.0,0.097038290344,0.0,0.0,3.009554435784,30.393992110055,-1.364421087971,40.626201705389,0.0,0.0,-1.301842223879,0.097038290344,0.0,0.097038290344,0.097038290344,0.081178290344,741.175659989728,741.175659989728,0.0,185.29445749708,370.589999999808,0,0,0,0,370.589999999808,0.0,0,0,0,0,58.511978648573,0.238963894557,0.25,0,0.0,0.0,0.011036105443,0.011036105443,-6.087076116234,0.25,0.0,0.0,0
2023,201,3,0.0,0.25,0.4515,30.925,30.04,3.083842481285,0.009998817359,0.080417406294,0,0,0,0,0.096277406294,0.096277406294,0.0,0.0,2.644206755713,29.092976057156,-1.832023942844,-1.246763092144,40.626201705389,0.0,0.096277406294,0.0,0.0,2.964579600146,30.444722922928,-1.369227372795,40.626201705389,0.0,0.0,-1.307995232469,0.096277406294,0.0,0.096277406294,0.096277406294,0.080417406294,741.175659989728,741.175659989728,0.0,185.29445749708,370.589999999808,0,0,0,0,370.589999999808,0.0,0,0,0,0,58.761978648573,0.25,0.25,0,0.0,0.0,0.0,0.0,-4.686632005965,0.25,0.0,0.0,0
2023,201,4,0.0,0.25,0.4515,30.293,28.91,2.853573404286,0.009998817359,0.079667000859,0,0,0,0,0.095527000859,0.095527000859,0.0,0.0,2.441314241006,28.521364770244,-1.771635229756,-1.198330803309,40.626201705389,0.0,0.095527000859,0.0,0.0,2.738891471845,29.816052700311,-1.310843102719,40.626201705389,0.0,0.0,-1.254586953014,0.095527000859,0.0,0.095527000859,0.095527000859,0.079667000859,741.175659989728,741.175659989728,0.0,185.29445749708,370.589999999808,0,0,0,0,370.589999999808,0.0,0,0,0,0,59.011978648573,0.25,0.25,0,0.0,0.0,0.0,0.0,-4.708782836889,0.25,0.0,0.0,0
2023,201,5,0.0,0.25,0.4515,29.065,27.95,2.634746047415,0.009998817359,0.078928586521,0,0,0,0,0.094788586521,0.094788586521,0.0,0.0,2.244284693291,27.277665081574,-1.787334918426,-1.099354179618,40.626201705389,0.0,0.094788586521,0.0,0.0,2.528474550607,28.594485048144,-1.204419734301,40.626201705389,0.0,0.0,-1.15188695696,0.094788586521,0.0,0.094788586521,0.094788586521,0.078928586521,741.175659989728,741.175659989728,0.0,185.29445749708,370.589999999808,0,0,0,0,370.589999999808,0.0,0,0,0,0,59.261399756907,0.249421108334,0.25,0,0.0,0.0,0.000578891666,0.000578891666,-4.51651303085,0.25,0.0,0.0,0
2023,201,6,10.393873085339,6.57,0.4515,30.976,27.29,2.926732878248,0.009998817359,0.078198550679,0,0,0,0,0.094058550679,0.094058550679,0.0,0.0,2.530532236809,29.337266117866,-1.638733882134,-1.268054153725,40.626201705389,15.636452184706,0.094058550679,0.0,0.0,2.82720803192,30.577079001459,-1.381846769864,40.626201705389,13.221646084534,0.0,-1.324950461794,0.094058550679,0.0,0.094058550679,0.094058550679,0.078198550679,741.175659989728,741.175659989728,0.0,185.29445749708,370.589999999808,0,0,0,0,370.589999999808,0.0,0,0,0,0,59.511399756907,0.25,0.25,0,0.0,0.0,0.0,0.0,-4.146793045055,0.25,0.0,0.0,0
2023,201,7,82.603938730853,0.25,1.01,33.6,27.69,3.633345794805,0.009998817359,0.062203512792,0,0,0,0,0.078063512792,2.734544337979,8.380104873117,348.422584008533,2.330090179243,28.457876773969,-5.142123226031,4.858734036742,38.465044378195,119.890680291408,2.758141904658,8.398644928146,322.111407016179,2.525996177676,29.32252174084,3.750034735587,38.821727143138,99.983428598786,8.390130332359,4.259209405461,2.977150873015,8.472805148262,2.734544337979,1.906261231567,1.278837028161,737.087693600877,544.229919320968,169.689328793066,169.704335854549,370.582840010272,0,0,0,0,370.582840010272,8.404307342065,0,0,0,0,66.030744900215,6.519345143307,6.57,0,0.0,0.0,0.050654856693,0.050654856693,-4.76982166246,6.57,0.0,0.0,0
2023,201,8,167.943107221007,0.25,1.01,36.173,29.28,4.327633816737,0.009998817359,0.066166473109,0,0,0,0,0.082026473109,2.751798953118,8.398644928146,274.364889331219,2.965584207557,31.516729402152,-4.656270597848,8.450804893964,35.852623426347,222.871159153892,2.751798953118,8.398644928146,253.552456876853,3.209009263531,32.434384038617,8.047075508984,35.706882030652,220.939112922768,8.398644928146,8.280768393113,2.913437921548,8.472805148262,2.766071452742,1.914457587303,1.285542845055,736.92234978566,530.491293694412,168.31824527263,168.336139037912,370.582440161926,0,0,0,0,370.582440161926,8.422900942379,0,0,0,0,64.200519930678,-1.830224969537,0.25,0,1.962686424898,0.0,0.108478448243,2.071164873141,15.333153859659,0.25,0.0,0.0,0
2023,201,9,254.92341356674,0.25,0.5,38.032,31.21,5.001315713028,0.009998817359,0.070737216776,0,0,0,0,0.086597216776,2.806095817725,8.417184983175,251.123334262324,3.247202522969,32.454726331069,-5.577273668931,11.717303282669,33.393986897189,337.428735583398,2.806095817725,8.417184983175,226.107965358984,3.606455541264,33.7336702985,10.967972260217,33.108291323703,337.428735583398,8.417184983175,11.453420703426,2.992403827417,8.472805148262,2.80816351483,1.923297073829,1.292873053202,736.735342511602,511.682908574509,166.3641391192,166.385664247628,370.581974163727,0,0,0,0,370.581974163727,8.441494542693,0,0,0,0,62.280874767118,-1.91964516356,0.25,0,1.964678227278,0.0,0.195897645385,2.160575872664,29.810766215206,0.25,0.0,0.0,0
