treatment,gsw_avg,gsw_stderr,e_avg,e_stderr
Pre-water stress,227.25,4.830996125262709,8.641188769187604,0.15674466717575175
Water stress,14.355555555555556,1.6797472545680023,1.2881180404902977,0.14744098361558847
Post-water stress,124.62777777777778,4.726603198383837,4.858294287178406,0.16002817587535695
