treatment,gsw_avg,gsw_stderr,e_avg,e_stderr
Pre-water stress,229.62295081967213,4.711431267869407,8.406663508823225,0.15535805685184176
Water stress,23.31111111111111,2.4629917175784484,1.9584752797197456,0.18576448011996458
Post-water stress,153.66022099447514,5.963143154898326,5.660945517790891,0.20336105510548613
