treatment,gsw_avg,gsw_stderr,e_avg,e_stderr
Pre-water stress,194.827868852459,4.030435106962342,7.599576403479453,0.12318612213437498
Water stress,14.055555555555555,1.460111424194725,1.2487598872874448,0.11102406175996003
Post-water stress,107.125,4.369065037519316,4.360210969209537,0.1447761057414468
