treatment,gsw_avg,gsw_stderr,e_avg,e_stderr
Pre-water stress,155.0847222222222,3.1415443931867966,6.190441376643614,0.10095621759832873
Water stress,25.944444444444443,2.5446014485794497,2.193528047257684,0.1902640130354686
Post-water stress,115.72777777777777,3.456135486709572,4.606979719973747,0.10770480742605959
