treatment,GW_avg,GW_stderr,E-MD_avg,E-MD_stderr
Pre-water stress,163.79722222222222,5.350058065402105,9.127217118168728,0.26164204419466963
Water stress,14.355555555555556,1.6797472545680023,1.2881180404902977,0.14744098361558847
Post-water stress,93.04444444444445,5.714991785863783,5.118511887186747,0.26542430690346486
