year,julian-day,standard-time,E-MD,GW,K-plant,P-MD,P-PD,leaftemp,treatment
2023,201,12,,,,0.11261339963688946,,,
2023,201,15,0.5178474678899183,11.575836902790225,0.03837316770869978,,,,
2023,201,16,0.5178474678899183,11.575836902790225,0.03837316770869978,,,,
2023,201,17,0.5178474678899183,11.575836902790225,0.03837316770869978,,,,
2023,201,3,,,,,0.041128524840499156,,
2023,201,4,,,,,0.041128524840499156,,
2023,201,5,,,,,0.041128524840499156,,
2023,201,7,1.1312179277221521,24.779023386727737,0.06046188882262942,,,,
2023,201,8,1.1312179277221521,24.779023386727737,0.06046188882262942,,,,
2023,201,9,1.1312179277221521,24.779023386727737,0.06046188882262942,,,,
2023,202,12,,,,0.05383405300697594,,,
2023,202,15,1.3264807658696836,30.333333333333332,0.04362121043712565,,,,
2023,202,16,1.3264807658696836,30.333333333333332,0.04362121043712565,,,,
2023,202,17,1.3264807658696836,30.333333333333332,0.04362121043712565,,,,
2023,202,3,,,,,0.03387981855416523,,
2023,202,4,,,,,0.03387981855416523,,
2023,202,5,,,,,0.03387981855416523,,
2023,202,7,0.646863887451517,30.904871963998023,0.03100410367103755,,,,
2023,202,8,0.646863887451517,30.904871963998023,0.03100410367103755,,,,
2023,202,9,0.646863887451517,30.904871963998023,0.03100410367103755,,,,
2023,221,12,,,,0.06252409268757941,,,
2023,221,15,1.0615427410478715,38.764398246697596,0.09251407952692545,,,,
2023,221,16,1.0615427410478715,38.764398246697596,0.09251407952692545,,,,
2023,221,17,1.0615427410478715,38.764398246697596,0.09251407952692545,,,,
2023,221,3,,,,,0.041013934914158834,,
2023,221,4,,,,,0.041013934914158834,,
2023,221,5,,,,,0.041013934914158834,,
2023,221,7,0.6869226868999,29.748949561287038,0.06340684330399816,,,,
2023,221,8,0.6869226868999,29.748949561287038,0.06340684330399816,,,,
2023,221,9,0.6869226868999,29.748949561287038,0.06340684330399816,,,,
2023,222,12,,,,0.07270875119268656,,,
2023,222,15,1.744472904428645,54.31077115955525,0.150778884824247,,,,
2023,222,16,1.744472904428645,54.31077115955525,0.150778884824247,,,,
2023,222,17,1.744472904428645,54.31077115955525,0.150778884824247,,,,
2023,222,3,,,,,0.026802188188031706,,
2023,222,4,,,,,0.026802188188031706,,
2023,222,5,,,,,0.026802188188031706,,
2023,222,7,0.6538582075309262,25.440562537456245,0.05460438525328245,,,,
2023,222,8,0.6538582075309262,25.440562537456245,0.05460438525328245,,,,
2023,222,9,0.6538582075309262,25.440562537456245,0.05460438525328245,,,,
2023,228,12,,,,0.048114786497900644,,,
2023,228,15,1.2404555365959737,28.915585954829123,0.06410256538461538,,,,
2023,228,16,1.2404555365959737,28.915585954829123,0.06410256538461538,,,,
2023,228,17,1.2404555365959737,28.915585954829123,0.06410256538461538,,,,
2023,228,3,,,,,0.04932809252030819,,
2023,228,4,,,,,0.04932809252030819,,
2023,228,5,,,,,0.04932809252030819,,
2023,228,7,1.0734057946554976,33.07305792474937,0.07591735272284225,,,,
2023,228,8,1.0734057946554976,33.07305792474937,0.07591735272284225,,,,
2023,228,9,1.0734057946554976,33.07305792474937,0.07591735272284225,,,,
2023,229,12,,,,0.0697542584051796,,,
2023,229,15,0.8392208688221872,19.436506316151004,0.07405838537562405,,,,
2023,229,16,0.8392208688221872,19.436506316151004,0.07405838537562405,,,,
2023,229,17,0.8392208688221872,19.436506316151004,0.07405838537562405,,,,
2023,229,3,,,,,0.047057347347613424,,
2023,229,4,,,,,0.047057347347613424,,
2023,229,5,,,,,0.047057347347613424,,
2023,229,7,0.7447270193388539,25.08873142357828,0.06135294070648393,,,,
2023,229,8,0.7447270193388539,25.08873142357828,0.06135294070648393,,,,
2023,229,9,0.7447270193388539,25.08873142357828,0.06135294070648393,,,,
2023,235,12,,,,0.03449491252197909,,,
2023,235,15,0.5521880718257745,14.700718047466632,0.025211108662651072,,,,
2023,235,16,0.5521880718257745,14.700718047466632,0.025211108662651072,,,,
2023,235,17,0.5521880718257745,14.700718047466632,0.025211108662651072,,,,
2023,235,3,,,,,0.03146266024828463,,
2023,235,4,,,,,0.03146266024828463,,
2023,235,5,,,,,0.03146266024828463,,
2023,235,7,1.0193756258939424,51.68279318217149,0.04414326424017347,,,,
