population,elevation,genotype,Replicate #,am.pm,date,treatment,rh (%),Tair (oC),Tleaf (oC),vpd (kPa),gsw.(mol m-2 s-1),gsw.(mmol m-2 s-1),E.(mmol m-2 s-1),E (mol m-2 s-1),E (g m-2 s-1),E (kg m-2 s-1),E (kg m-2 hr-1),Total leaf area (m2),Al:Ab (m2 cm-2),Al:Ab (m2 m-2),Ypd (MPa),Ymd (MPa),Delta Y (MPa),K (Kg hr-1 MPa-1 m-2) ,K (Kg hr-1 MPa-1 m-2) per BA,K (mmol s-1 MPa-1 m-2) per LA,K (mmol s-1 MPa-1 m-2) per BA
TSZ-SAN,1212,4,33,pm,7/21/23,predrought,13.86,46.68,42.89,7.15,0.08,80,5.3,0.005,0.095,0.000095,0.343,14.08,4.13,41300,-0.43,-1.73,1.3,0.264,10910.825,4.073465158,168234.111
TSZ-SAN,1212,4,34,pm,7/20/23,predrought,10.88,47.77,43.78,7.83,0.05,50,3.19,0.003,0.057,0.000057,0.207,4.71,1.38,13800,-0.44,-1.88,1.44,0.144,1980.990,2.213398848,30544.9041
TSZ-SAN,1212,7,36,pm,7/21/23,predrought,19.96,42.43,40.57,5.93,0.1,100,5.34,0.005,0.096,0.000096,0.346,6.11,0.97,9700,-0.72,-2.19,1.47,0.235,2283.340,3.629571958,35206.84799
TSZ-SAN,1212,7,37,pm,7/20/23,predrought,11.04,47.77,46.26,9.01,0.01,10,0.95,0.001,0.017,0.000017,0.062,3.68,0.9,9000,-0.55,-2.44,1.89,0.033,293.143,0.502219174,4519.972569
TSZ-SAN,1212,7,83,pm,7/20/23,predrought,10.84,47.88,43.88,7.84,0.09,90,6.65,0.007,0.120,0.000120,0.431,7.91,2.14,21400,-0.29,-2.44,2.15,0.200,4289.157,3.09039985,66134.55678
TSZ-SAN,1212,8,38,pm,7/20/23,predrought,11.48,47.2,41.34,6.69,0.17,170,10.5,0.011,0.189,0.000189,0.680,13.38,3.28,32800,-0.3,-2.26,1.96,0.347,11386.286,5.352599095,175565.2503
TSZ-SAN,1212,8,39,pm,7/21/23,predrought,12.1,47.04,41.31,6.62,0.12,120,7.53,0.008,0.136,0.000136,0.488,3.71,1.36,13600,-0.4,-2.67,2.27,0.215,2923.365,3.314367087,45075.39239
TSZ-SAN,1212,8,40,pm,7/21/23,predrought,15.92,45.76,41.96,6.6,0.07,70,4.44,0.004,0.080,0.000080,0.288,4.62,1.66,16600,-0.86,-2.69,1.83,0.157,2609.847,2.424171656,40241.24949
TSZ-SAN,1212,10,21,pm,7/20/23,predrought,11.02,47.59,45.99,8.89,0.01,10,0.94,0.001,0.017,0.000017,0.061,4.78,1.38,13800,-0.41,-2.04,1.63,0.037,515.697,0.576197988,7951.532241
TSZ-SAN,1212,10,41,pm,7/21/23,predrought,13.1,46.98,40.84,6.33,0.15,150,9,0.009,0.162,0.000162,0.583,15.53,3.35,33500,-0.7,-2.22,1.52,0.384,12853.421,5.916030579,198187.0244
TSZ-SAN,1212,10,42,pm,7/21/23,predrought,14.29,46.54,40.97,6.29,0.14,140,8.03,0.008,0.145,0.000145,0.520,14.52,3.06,30600,-0.59,-2.29,1.7,0.306,9366.192,4.719523061,144417.4057
CCR-COL,72,156,43,am,8/9/23,predrought,35.85,35.96,30.86,2.34,0.3,300,6.56,0.007,0.118,0.000118,0.425,18.53,3.87,38700,-0.66,-2.21,1.55,0.274,10613.487,4.228668395,163649.4669
CCR-COL,72,156,44,am,8/10/23,predrought,29.74,35.96,31,2.73,0.29,290,7.54,0.008,0.136,0.000136,0.489,5.08,1.59,15900,-0.77,-2.28,1.51,0.324,5144.777,4.989142256,79327.36187
CCR-COL,72,156,45,am,8/9/23,predrought,33.9,37.03,31.92,2.61,0.38,380,9.23,0.009,0.166,0.000166,0.598,13.38,3.64,36400,-0.51,-1.92,1.41,0.424,15440.415,6.540547093,238075.9142
CCR-COL,72,149,46,am,8/9/23,predrought,35.57,36.04,31.33,2.46,0.45,450,10.58,0.011,0.190,0.000190,0.686,10.99,2.05,20500,-0.62,-2.1,1.48,0.463,9496.265,7.142585387,146423.0004
CCR-COL,72,149,47,am,8/10/23,predrought,32.18,34.9,30.72,2.63,0.35,350,8.81,0.009,0.159,0.000159,0.571,10.98,2.51,25100,-0.44,-2.3,1.86,0.307,7703.919,4.732541738,118786.7976
CCR-COL,72,149,48,am,8/10/23,predrought,30.89,35.2,31.5,2.87,0.33,330,8.92,0.009,0.161,0.000161,0.578,17.25,2.85,28500,-0.61,-2.2,1.59,0.364,10360.664,5.605304612,159751.1814
CCR-COL,72,152,49,am,8/9/23,predrought,36.61,34.85,29.61,2.11,0.45,450,8.91,0.009,0.160,0.000160,0.577,16.68,2.78,27800,-0.93,-1.75,0.82,0.704,19574.183,10.85663758,301814.5247
CCR-COL,72,152,50,am,8/10/23,predrought,31.37,35.23,30.47,2.57,0.32,320,7.72,0.008,0.139,0.000139,0.500,29.47,3.96,39600,-0.61,-2.42,1.81,0.276,10944.827,4.261575766,168758.4003
CCR-COL,72,152,51,am,8/10/23,predrought,30.61,36,31.25,2.74,0.38,380,9.81,0.010,0.177,0.000177,0.636,11.56,1.91,19100,-0.712,-1.64,0.93,0.685,13083.665,10.56215459,201737.1527
CCR-COL,72,155,58,am,8/10/23,predrought,31.28,35.33,31.05,2.72,0.26,260,6.58,0.007,0.118,0.000118,0.426,25.14,4.53,45300,-0.73,-1.74,1.01,0.422,19123.956,6.509325791,294872.4583
CCR-COL,72,155,59,am,8/9/23,predrought,37.19,35,30.76,2.35,0.32,320,7.09,0.007,0.128,0.000128,0.459,16.94,3.17,31700,-0.52,-2.02,1.5,0.306,9709.330,4.722657655,149708.2477
CCR-COL,72,155,60,am,8/10/23,predrought,31.82,34.81,30.63,2.63,0.2,200,5.01,0.005,0.090,0.000090,0.325,22.24,4.22,42200,-0.49,-2.45,1.96,0.166,6989.870,2.553954425,107776.8768
CCR-COL,72,5,61,am,8/10/23,predrought,31.02,35.37,31.37,2.81,0.16,160,4.18,0.004,0.075,0.000075,0.271,5.59,1.83,18300,-0.52,-2.48,1.96,0.138,2528.985,2.130844211,38994.44907
CCR-COL,72,5,63,am,8/9/23,predrought,35.76,34.87,30.4,2.35,0.29,290,6.46,0.006,0.116,0.000116,0.419,13.53,2.78,27800,-0.76,-1.58,0.82,0.510,14191.832,7.871366865,218823.9988
CCR-COL,72,5,85,am,8/10/23,predrought,32.29,34.75,31.06,2.72,0.2,200,5.24,0.005,0.094,0.000094,0.340,8.26,2.33,23300,-0.53,-2.08,1.55,0.219,5104.233,3.377777803,78702.22282
JLA-JAK,1521,153,69,am,8/10/23,predrought,31.24,35.24,32.23,3.04,0.23,230,6.63,0.007,0.119,0.000119,0.430,1.89,0.42,4200,-0.67,-2.3,1.63,0.264,1107.007,4.064034749,17068.94594
JLA-JAK,1521,153,76,am,8/10/23,predrought,30.8,35.19,32.35,3.11,0.15,150,4.44,0.004,0.080,0.000080,0.288,1.63,0.4,4000,-0.77,-1.82,1.05,0.274,1096.046,4.224984886,16899.93954
JLA-JAK,1521,153,90,am,8/9/23,predrought,34.74,36.45,34.46,3.36,0.17,170,4.89,0.005,0.088,0.000088,0.317,3.81,0.53,5300,-0.55,-2.05,1.5,0.211,1119.614,3.257234969,17263.34534
JLA-JAK,1521,155,62,am,8/9/23,predrought,35.14,35.73,31.98,2.69,0.27,270,6.97,0.007,0.125,0.000125,0.452,1.17,0.44,4400,-1.3,-2.12,0.82,0.551,2423.520,8.492790564,37368.27848
JLA-JAK,1521,155,64,am,8/9/23,predrought,36.87,34.46,30.79,2.43,0.25,250,5.74,0.006,0.103,0.000103,0.372,1.37,0.45,4500,-0.61,-2.15,1.54,0.242,1086.873,3.724111371,16758.50117
JLA-JAK,1521,155,66,am,8/10/23,predrought,29.72,35.91,32.72,3.2,0.16,160,4.69,0.005,0.084,0.000084,0.304,3.21,0.68,6800,-0.89,-1.85,0.96,0.317,2152.710,4.881273008,33192.65646
JLA-JAK,1521,156,71,am,8/9/23,predrought,35.2,35.9,32.94,2.94,0.19,190,5.27,0.005,0.095,0.000095,0.341,3.35,0.65,6500,-0.36,-1.87,1.51,0.226,1470.016,3.48710606,22666.18939
JLA-JAK,1521,156,74,am,8/10/23,predrought,31.47,35.17,34.19,3.61,0.04,40,1.42,0.001,0.026,0.000026,0.092,2.92,0.64,6400,-0.35,-1.77,1.42,0.065,414.720,0.999151831,6394.571719
JLA-JAK,1521,156,75,am,8/10/23,predrought,29.88,35.8,33.23,3.35,0.15,150,4.73,0.005,0.085,0.000085,0.307,2.78,0.58,5800,-0.39,-2.06,1.67,0.184,1064.505,2.829933031,16413.61158
JLA-JAK,1521,157,67,am,8/10/23,predrought,31.73,34.89,32.16,3.03,0.17,170,4.85,0.005,0.087,0.000087,0.314,2.46,0.65,6500,-0.7,-2.02,1.32,0.238,1547.591,3.671126046,23862.3193
JLA-JAK,1521,157,68,am,8/10/23,predrought,31.55,34.87,32.03,3.01,0.12,120,3.47,0.003,0.062,0.000062,0.225,2.9,0.85,8500,-0.66,-2.2,1.54,0.146,1241.088,2.251335619,19136.35277
JLA-JAK,1521,157,72,am,8/9/23,predrought,36.22,35.16,32.02,2.71,0.18,180,4.55,0.005,0.082,0.000082,0.295,1.89,1.52,15200,-0.72,-2.09,1.37,0.215,3271.218,3.318350972,50438.93477
JLA-JAK,1521,158,70,am,8/10/23,predrought,29.82,36.12,33.81,3.49,0.13,130,4.05,0.004,0.073,0.000073,0.262,1.25,0.24,2400,-0.44,-1.95,1.51,0.174,417.123,2.679844315,6431.626357
JLA-JAK,1521,158,73,am,8/10/23,predrought,30.77,35.22,32.67,3.2,0.1,100,3.07,0.003,0.055,0.000055,0.199,1.75,0.39,3900,-0.49,-2.7,2.21,0.090,351.064,1.387962046,5413.051979
JLA-JAK,1521,158,81,am,8/10/23,predrought,29.8,36.22,33.03,3.25,0.17,170,5.37,0.005,0.097,0.000097,0.348,0.53,0.2,2000,-0.83,-1.97,1.14,0.305,610.484,4.706530994,9413.061988
NRV-NEW,666,101,1,am,8/9/23,predrought,32.63,37.48,33.18,2.98,0.42,420,11.87,0.012,0.214,0.000214,0.769,5.47,1.21,12100,-0.41,-1.98,1.57,0.490,5928.044,7.554096965,91404.57328
NRV-NEW,666,101,2,am,8/9/23,predrought,32.98,37.1,31.24,2.48,0.55,550,12.81,0.013,0.231,0.000231,0.830,6.42,1.41,14100,-0.33,-2.63,2.3,0.361,5088.800,5.564841285,78464.26212
NRV-NEW,666,101,3,am,8/9/23,predrought,33.6,36.78,31.35,2.5,0.45,450,10.64,0.011,0.192,0.000192,0.689,5.07,1.03,10300,-0.54,-2.3,1.76,0.392,4034.978,6.040326979,62215.36788
NRV-NEW,666,105,7,am,8/9/23,predrought,34.78,35.98,30.9,2.41,0.4,400,9.18,0.009,0.165,0.000165,0.595,3.34,0.91,9100,-1.19,-2.26,1.07,0.556,5059.124,8.572162439,78006.67819
NRV-NEW,666,105,8,am,8/9/23,predrought,36.04,35.37,30.51,2.3,0.46,460,9.99,0.010,0.180,0.000180,0.647,2.64,0.69,6900,-0.73,-2.18,1.45,0.446,3080.503,6.883811581,47498.29991
NRV-NEW,666,105,9,am,8/10/23,predrought,32.46,35,31.64,2.84,0.22,220,5.94,0.006,0.107,0.000107,0.385,5.01,1.09,10900,-0.92,-2.63,1.71,0.225,2453.533,3.47073794,37831.04354
NRV-NEW,666,118,10,am,8/10/23,predrought,30.01,36.24,32.62,3.12,0.26,260,7.55,0.008,0.136,0.000136,0.489,3.56,1.00,10000,-0.72,-2.11,1.39,0.352,3519.712,5.427047716,54270.47716
NRV-NEW,666,118,11,am,8/10/23,predrought,31.55,35.12,31.53,2.85,0.18,180,4.92,0.005,0.089,0.000089,0.319,3.32,0.91,9100,-0.57,-1.72,1.15,0.277,2522.805,4.274632182,38899.15285
NRV-NEW,666,118,12,am,8/9/23,predrought,34.3,36.11,31.26,2.51,0.28,280,6.71,0.007,0.121,0.000121,0.435,1.61,0.5,5000,-0.29,-1.91,1.62,0.268,1342.000,4.138462214,20692.31107
NRV-NEW,666,122,16,am,8/10/23,predrought,30.99,35.2,31.11,2.76,0.23,230,5.86,0.006,0.105,0.000105,0.380,7.05,2.21,22100,-0.6,-2.31,1.71,0.222,4907.596,3.423993994,75670.26727
NRV-NEW,666,122,17,am,8/10/23,predrought,30.33,35.76,31.25,2.78,0.26,260,6.74,0.007,0.121,0.000121,0.437,4.82,1.19,11900,-0.56,-2.2,1.64,0.266,3169.115,4.10627033,48864.61693
NRV-NEW,666,122,18,am,8/9/23,predrought,32.31,37.19,32.64,2.89,0.31,310,8.37,0.008,0.151,0.000151,0.542,7.37,1.96,19600,-0.54,-2.47,1.93,0.281,5508.067,4.333109236,84928.94104
NRV-NEW,666,123,19,am,8/9/23,predrought,37.63,34.06,30.23,2.29,0.4,400,8.64,0.009,0.156,0.000156,0.560,6.06,1.55,15500,-0.59,-2.03,1.44,0.389,6026.400,5.994910987,92921.12029
NRV-NEW,666,123,20,am,8/9/23,predrought,36.23,34.67,30.45,2.35,0.43,430,9.6,0.010,0.173,0.000173,0.622,5.82,2.02,20200,-0.68,-2.05,1.37,0.454,9172.274,7.001355897,141427.3891
NRV-NEW,666,123,22,am,8/9/23,predrought,33.73,37.02,31.9,2.61,0.45,450,11.1,0.011,0.200,0.000200,0.719,4.78,1.58,15800,-0.36,-2.12,1.76,0.409,6457.173,6.301468935,99563.20917
TSZ-SAN,1212,3,29,am,8/9/23,predrought,35.15,36.13,31.95,2.64,0.29,290,7.15,0.007,0.129,0.000129,0.463,8.68,2.32,23200,-0.68,-2.47,1.79,0.259,6005.041,3.991025471,92591.79092
TSZ-SAN,1212,3,30,am,8/9/23,predrought,32.82,37.75,33.65,3.08,0.36,360,10.34,0.010,0.186,0.000186,0.670,7.00,2.43,24300,-0.77,-2.74,1.97,0.340,8264.862,5.244279154,127435.9834
TSZ-SAN,1212,3,31,am,8/10/23,predrought,31.03,35.29,31.04,2.74,0.23,230,5.95,0.006,0.107,0.000107,0.386,6.14,1.8,18000,-0.44,-2.16,1.72,0.224,4034.930,3.456368253,62214.62855
TSZ-SAN,1212,4,32,am,8/9/23,predrought,33.83,36.27,31.94,2.7,0.26,260,6.61,0.007,0.119,0.000119,0.428,6.68,1.44,14400,-0.4,-1.92,1.52,0.282,4057.844,4.344995792,62567.9394
TSZ-SAN,1212,4,33,am,8/10/23,predrought,30.5,35.64,32.42,3.1,0.26,260,7.71,0.008,0.139,0.000139,0.500,14.08,4.13,41300,-0.37,-1.79,1.42,0.352,14530.852,5.424972266,224051.3546
TSZ-SAN,1212,4,34,am,8/9/23,predrought,32.14,37.62,33.57,3.11,0.38,380,11.1,0.011,0.200,0.000200,0.719,4.71,1.38,13800,-0.74,-2.59,1.85,0.389,5365.440,5.994910987,82729.77162
TSZ-SAN,1212,7,36,am,8/9/23,predrought,32.43,37.99,34.24,3.25,0.23,230,7.02,0.007,0.126,0.000126,0.455,6.11,0.97,9700,-0.39,-2.15,1.76,0.258,2507.097,3.985253326,38656.95727
TSZ-SAN,1212,7,37,am,8/9/23,predrought,32.68,37.38,33.52,3.09,0.33,330,9.52,0.010,0.171,0.000171,0.617,3.68,0.9,9000,-0.51,-2.31,1.8,0.343,3084.480,5.284403018,47559.62716
TSZ-SAN,1212,7,83,am,8/9/23,predrought,35.85,36.04,32.08,2.64,0.29,290,7.27,0.007,0.131,0.000131,0.471,7.91,2.14,21400,-0.43,-2.98,2.55,0.185,3953.512,2.848562279,60959.23278
TSZ-SAN,1212,8,38,am,8/9/23,predrought,35.08,35.61,31.25,2.52,0.38,380,8.98,0.009,0.162,0.000162,0.582,13.38,3.28,32800,-0.58,-2.47,1.89,0.308,10098.651,4.747292827,155711.2047
TSZ-SAN,1212,8,39,am,8/10/23,predrought,29.19,36.3,32.6,3.16,0.33,330,9.84,0.010,0.177,0.000177,0.638,3.71,1.36,13600,-0.48,-2.28,1.8,0.354,4817.664,5.46203001,74283.60814
TSZ-SAN,1212,8,40,am,8/10/23,predrought,31.6,35.2,32.32,3.05,0.2,200,5.45,0.005,0.098,0.000098,0.353,4.62,1.66,16600,-0.6,-3.11,2.51,0.141,2335.640,2.169473099,36013.25345
TSZ-SAN,1212,10,21,am,8/9/23,predrought,33.42,37.18,33.06,2.93,0.35,350,9.78,0.010,0.176,0.000176,0.634,4.78,1.38,13800,-0.44,-2.76,2.32,0.273,3769.684,4.211941771,58124.79644
TSZ-SAN,1212,10,41,am,8/10/23,predrought,30.14,35.94,31.15,2.75,0.33,330,8.56,0.009,0.154,0.000154,0.555,15.53,3.35,33500,-0.65,-2.09,1.44,0.385,12904.200,5.939402552,198969.9855
TSZ-SAN,1212,10,42,am,8/10/23,predrought,31.24,35.47,31.41,2.8,0.3,300,7.96,0.008,0.143,0.000143,0.516,14.52,3.06,30600,-0.51,-2.25,1.74,0.296,9071.106,4.570832515,139867.475
CCR-COL,72,156,43,pm,8/9/23,predrought,20.6,43.69,37.74,4.69,0.21,210,9.37,0.009,0.169,0.000169,0.607,18.53,3.87,38700,-0.66,-2.21,1.55,0.392,15159.814,6.040033973,233749.3147
CCR-COL,72,156,44,pm,8/10/23,predrought,19.28,43.07,36.98,4.6,0.22,220,9.34,0.009,0.168,0.000168,0.605,5.08,1.59,15900,-0.77,-2.28,1.51,0.401,6372.973,6.180184174,98264.92837
CCR-COL,72,156,45,pm,8/9/23,predrought,19.52,44.01,36.99,4.49,0.29,290,12.21,0.012,0.220,0.000220,0.791,13.38,3.64,36400,-0.51,-1.92,1.41,0.561,20425.511,8.652229686,314941.1606
CCR-COL,72,149,46,pm,8/9/23,predrought,20.1,43.46,35.22,3.91,0.33,330,12.29,0.012,0.221,0.000221,0.796,10.99,2.05,20500,-0.62,-2.1,1.48,0.538,11031.105,8.297010814,170088.7217
CCR-COL,72,149,47,pm,8/9/23,predrought,23.99,41.26,35.22,3.8,0.44,440,15.61,0.016,0.281,0.000281,1.012,10.98,2.51,25100,-0.44,-2.3,1.86,0.544,13650.190,8.385354884,210472.4076
CCR-COL,72,149,48,pm,8/10/23,predrought,20.12,43.24,37,4.52,0.24,240,9.77,0.010,0.176,0.000176,0.633,17.25,2.85,28500,-0.61,-2.2,1.59,0.398,11347.947,6.139442384,174974.1079
CCR-COL,72,152,49,pm,8/9/23,predrought,22.09,42.77,34.73,3.66,0.43,430,14.49,0.014,0.261,0.000261,0.939,16.68,2.78,27800,-0.93,-1.75,0.82,1.145,31832.763,17.65574394,490829.6816
CCR-COL,72,152,50,pm,8/10/23,predrought,19.83,43.17,35.68,4.11,0.29,290,11.29,0.011,0.203,0.000203,0.732,29.47,3.96,39600,-0.61,-2.42,1.81,0.404,16006.101,6.232278549,246798.2305
CCR-COL,72,152,51,pm,8/10/23,predrought,20.16,43,34.39,3.7,0.55,550,19.31,0.019,0.348,0.000348,1.251,11.56,1.91,19100,-0.712,-1.64,0.93,1.348,25753.880,20.7905408,397099.3292
CCR-COL,72,155,58,pm,8/9/23,predrought,25.15,40.83,36.52,4.18,0.25,250,9.7,0.010,0.175,0.000175,0.629,25.14,4.53,45300,-0.73,-1.74,1.01,0.622,28191.850,9.595814616,434690.4021
CCR-COL,72,155,59,pm,8/9/23,predrought,20.78,43.24,40.17,5.64,0.12,120,6.44,0.006,0.116,0.000116,0.417,16.94,3.17,31700,-0.52,-2.02,1.5,0.278,8819.194,4.289691862,135983.232
CCR-COL,72,155,60,pm,8/10/23,predrought,21.87,42.37,37.31,4.56,0.19,190,7.88,0.008,0.142,0.000142,0.511,22.24,4.22,42200,-0.49,-2.45,1.96,0.261,10994.047,4.016998178,169517.3231
CCR-COL,72,5,61,pm,8/10/23,predrought,19.49,43.2,37.18,4.64,0.16,160,6.93,0.007,0.125,0.000125,0.449,5.59,1.83,18300,-0.52,-2.48,1.96,0.229,4192.791,3.532715403,64648.69187
CCR-COL,72,5,63,pm,8/9/23,predrought,21.55,42.85,37.05,4.45,0.23,230,9.66,0.010,0.174,0.000174,0.626,13.53,2.78,27800,-0.76,-1.58,0.82,0.763,21221.842,11.77049596,327219.7877
CCR-COL,72,5,85,pm,8/10/23,predrought,21.93,42.6,38.37,4.91,0.11,110,4.99,0.005,0.090,0.000090,0.323,8.26,2.33,23300,-0.53,-2.08,1.55,0.209,4860.711,3.216624282,74947.34577
JLA-JAK,1521,153,69,pm,8/10/23,predrought,19.8,43.23,37.28,4.64,0.18,180,7.78,0.008,0.140,0.000140,0.504,1.89,0.42,4200,-0.67,-2.3,1.63,0.309,1299.021,4.76895782,20029.62284
JLA-JAK,1521,153,76,pm,8/10/23,predrought,19.65,43.37,40.37,5.81,0.07,70,3.83,0.004,0.069,0.000069,0.248,1.63,0.4,4000,-0.77,-1.82,1.05,0.236,945.463,3.644525251,14578.101
JLA-JAK,1521,153,90,pm,8/9/23,predrought,20.34,43.14,39.09,5.26,0.09,90,4.38,0.004,0.079,0.000079,0.284,3.81,0.53,5300,-0.55,-2.05,1.5,0.189,1002.845,2.917523347,15462.87374
JLA-JAK,1521,155,62,pm,8/9/23,predrought,20.77,43.56,37.72,4.68,0.23,230,10.34,0.010,0.186,0.000186,0.670,1.17,0.44,4400,-1.3,-2.12,0.82,0.817,3595.294,12.59906089,55435.86794
JLA-JAK,1521,155,64,pm,8/9/23,predrought,22.22,42.28,38.28,4.88,0.21,210,9.47,0.009,0.170,0.000170,0.614,1.37,0.45,4500,-0.61,-2.15,1.54,0.398,1793.151,6.144134961,27648.60733
JLA-JAK,1521,155,66,pm,8/10/23,predrought,19.16,43.22,39.05,5.35,0.11,110,5.42,0.005,0.098,0.000098,0.351,3.21,0.68,6800,-0.89,-1.85,0.96,0.366,2487.780,5.641044713,38359.10405
JLA-JAK,1521,156,71,pm,8/9/23,predrought,20.45,43.66,40.73,5.85,0.08,80,4.42,0.004,0.080,0.000080,0.286,3.35,0.65,6500,-0.36,-1.87,1.51,0.190,1232.917,2.924669598,19010.35239
JLA-JAK,1521,156,74,pm,8/10/23,predrought,18.82,43.31,39.81,5.69,0.1,100,4.91,0.005,0.088,0.000088,0.318,2.92,0.64,6400,-0.35,-1.77,1.42,0.224,1433.997,3.454813726,22110.80785
JLA-JAK,1521,156,75,pm,8/10/23,predrought,19.05,43.25,38.19,5.03,0.14,140,6.79,0.007,0.122,0.000122,0.440,2.78,0.58,5800,-0.39,-2.06,1.67,0.263,1528.116,4.062419721,23562.03438
JLA-JAK,1521,157,67,pm,8/10/23,predrought,21.13,42.75,39.55,5.4,0.09,90,4.49,0.004,0.081,0.000081,0.291,2.46,0.65,6500,-0.7,-2.02,1.32,0.220,1432.718,3.398630092,22091.0956
JLA-JAK,1521,157,68,pm,8/10/23,predrought,23.09,41.94,38.68,4.99,0.1,100,4.83,0.005,0.087,0.000087,0.313,2.9,0.85,8500,-0.66,-2.2,1.54,0.203,1727.509,3.13370347,26636.4795
JLA-JAK,1521,157,72,pm,8/9/23,predrought,20.08,43.44,39.17,5.28,0.11,110,5.65,0.006,0.102,0.000102,0.366,1.89,1.52,15200,-0.72,-2.09,1.37,0.267,4062.061,4.120589668,62632.96296
JLA-JAK,1521,158,70,pm,8/10/23,predrought,19.49,43.09,38.4,5.08,0.1,100,4.56,0.005,0.082,0.000082,0.295,1.25,0.24,2400,-0.44,-1.95,1.51,0.196,469.650,3.017306192,7241.534861
JLA-JAK,1521,158,73,pm,8/10/23,predrought,19.41,43.42,38.62,5.14,0.11,110,5.11,0.005,0.092,0.000092,0.331,1.75,0.39,3900,-0.49,-2.7,2.21,0.150,584.344,2.310256044,9009.998571
JLA-JAK,1521,158,81,pm,8/10/23,predrought,19.51,43.21,38.82,5.22,0.11,110,5.31,0.005,0.096,0.000096,0.344,0.53,0.2,2000,-0.83,-1.97,1.14,0.302,603.663,4.653944055,9307.888111
NRV-NEW,666,101,1,pm,8/9/23,predrought,18.57,44.19,37.98,4.92,0.26,260,11.95,0.012,0.215,0.000215,0.774,5.47,1.21,12100,-0.41,-1.98,1.57,0.493,5967.997,7.60500916,92020.61084
NRV-NEW,666,101,2,pm,8/9/23,predrought,19.68,44.1,37.08,4.51,0.33,330,14.05,0.014,0.253,0.000253,0.910,6.42,1.41,14100,-0.33,-2.63,2.3,0.396,5581.393,6.103514447,86059.5537
NRV-NEW,666,101,3,pm,8/9/23,predrought,20.96,43.06,36.95,4.44,0.25,250,10.26,0.010,0.185,0.000185,0.665,5.07,1.03,10300,-0.54,-2.3,1.76,0.378,3890.872,5.824601015,59993.39046
NRV-NEW,666,105,7,pm,8/9/23,predrought,20.09,43.71,36.7,4.37,0.34,340,14.04,0.014,0.253,0.000253,0.910,3.34,0.91,9100,-1.19,-2.26,1.07,0.850,7737.483,13.11036608,119304.3314
NRV-NEW,666,105,8,pm,8/9/23,predrought,20.66,43.52,36.63,4.32,0.35,350,14.07,0.014,0.253,0.000253,0.912,2.64,0.69,6900,-0.73,-2.18,1.45,0.629,4338.606,9.695218113,66897.00498
NRV-NEW,666,105,9,pm,8/10/23,predrought,23.44,42.88,37.97,4.63,0.18,180,7.34,0.007,0.132,0.000132,0.476,5.01,1.09,10900,-0.92,-2.63,1.71,0.278,3031.806,4.288756983,46747.45111
NRV-NEW,666,118,10,pm,8/10/23,predrought,19.98,43.18,36.55,4.4,0.26,260,10.35,0.010,0.186,0.000186,0.671,3.56,1.00,10000,-0.72,-2.11,1.39,0.483,4825.036,7.439727663,74397.27663
NRV-NEW,666,118,11,pm,8/10/23,predrought,19.19,43.15,39.39,5.47,0.06,60,3.27,0.003,0.059,0.000059,0.212,3.32,0.91,9100,-0.57,-1.72,1.15,0.184,1676.742,2.841066511,25853.70525
NRV-NEW,666,118,12,pm,8/9/23,predrought,19.89,43.76,38.66,5.1,0.12,120,5.81,0.006,0.105,0.000105,0.376,1.61,0.5,5000,-0.29,-1.91,1.62,0.232,1162.000,3.583377863,17916.88932
NRV-NEW,666,122,16,pm,8/10/23,predrought,19.22,43.32,37.06,4.61,0.2,200,8.89,0.009,0.160,0.000160,0.576,7.05,2.21,22100,-0.6,-2.31,1.71,0.337,7445.141,5.194420923,114796.7024
NRV-NEW,666,122,17,pm,8/10/23,predrought,18.82,43.28,38.41,5.13,0.14,140,6.73,0.007,0.121,0.000121,0.436,4.82,1.19,11900,-0.56,-2.2,1.64,0.266,3164.413,4.100177941,48792.1175
NRV-NEW,666,122,18,pm,8/9/23,predrought,20.32,44.06,39.38,5.29,0.2,200,9.71,0.010,0.175,0.000175,0.629,7.37,1.96,19600,-0.54,-2.47,1.93,0.326,6389.884,5.026820871,98525.68906
NRV-NEW,666,123,19,pm,8/9/23,predrought,23.22,41.97,36.76,4.3,0.3,300,12,0.012,0.216,0.000216,0.778,6.06,1.55,15500,-0.59,-2.03,1.44,0.540,8370.000,8.326265259,129057.1115
NRV-NEW,666,123,20,pm,8/9/23,predrought,21.37,42.6,37.53,4.65,0.27,270,11.71,0.012,0.211,0.000211,0.759,5.82,2.02,20200,-0.68,-2.05,1.37,0.554,11188.264,8.540195578,172511.9507
NRV-NEW,666,123,22,pm,8/9/23,predrought,18.92,44.05,38.18,4.96,0.27,270,12.36,0.012,0.222,0.000222,0.801,4.78,1.58,15800,-0.36,-2.12,1.76,0.455,7190.149,7.016770814,110864.9789
TSZ-SAN,1212,3,29,pm,8/9/23,predrought,20.23,43.27,37.34,4.62,0.2,200,8.91,0.009,0.160,0.000160,0.577,8.68,2.32,23200,-0.68,-2.47,1.79,0.323,7483.205,4.97343174,115383.6164
TSZ-SAN,1212,3,30,pm,8/9/23,predrought,18.63,44.03,38.4,5.07,0.18,180,8.7,0.009,0.157,0.000157,0.564,7.00,2.43,24300,-0.77,-2.74,1.97,0.286,6953.994,4.412497934,107223.6998
