year,julian-day,standard-time,solar,rain,wind,T-air,T-soil,D-MD,GW,E-MD,P-PD,P-MD,K-plant,leaftemp
2023,221,14,328.2275711159737,0.0,2.01,40.95,39.660000000000025,5.753651607615907,,,,,,35.19222222222223
2023,221,15,244.52954048140043,0.0,2.01,41.7675,40.660000000000025,6.137175373220639,287.5,11.22125,,,501.12337125,35.80833333333333
2023,221,16,189.00437636761487,0.0,3.27,41.3995,41.18000000000001,6.12660495003527,287.5,11.22125,,,501.12337125,36.580555555555556
2023,221,17,100.38293216630196,0.0,3.27,40.444,41.200000000000045,5.8242282743452805,287.5,11.22125,,,501.12337125,36.37388888888889
2023,221,18,25.98468271334792,6.32,2.77,39.433,40.83000000000004,5.464688040327744,,,,,,35.29333333333333
2023,221,19,0.8205689277899343,0.0,2.515,38.4625,40.129999999999995,5.11901632799932,,,,,,34.72944444444445
2023,221,20,0.0,0.0,1.51,38.0455,38.54000000000002,4.968456781042441,,,,,,35.22
2023,221,21,0.0,0.0,1.26,37.866,36.950000000000045,4.887504960606378,,,,,,34.88111111111111
2023,221,22,0.0,0.0,1.51,37.3975,35.56,4.742374738167302,,,,,,35.12555555555556
2023,221,23,0.0,0.0,0.5,37.015,34.22000000000003,4.6289571838465475,,,,,,34.89833333333333
2023,222,0,0.0,6.32,1.51,36.5795,32.97000000000003,4.514071322306986,,,,,,33.986111111111114
2023,222,1,0.0,0.0,2.01,36.079,31.870000000000005,4.380052884229779,,,,,,34.257777777777775
2023,222,2,0.0,0.0,1.01,34.9035,30.80000000000001,3.8562151869426486,,,,,,33.919444444444444
2023,222,3,0.0,0.0,0.755,33.94,29.79000000000002,3.3899838248183336,,,0.603375,,,32.297222222222224
2023,222,4,0.0,0.0,1.51,32.36,28.910000000000025,3.0612753043324368,,,0.603375,,,31.203888888888887
2023,222,5,1.0940919037199124,0.0,1.26,31.331,28.180000000000007,2.6727227668785436,,,0.603375,,,29.67611111111111
2023,222,6,39.9343544857768,6.32,2.265,32.1385,27.610000000000017,2.975284522535075,,,,,,28.453333333333333
2023,222,7,137.308533916849,0.0,2.77,33.235,27.920000000000016,3.297245851824165,276.6666666666667,7.09,,,266.82431,28.54555555555556
2023,222,8,234.13566739606125,0.0,2.77,34.6515,29.100000000000023,3.6564881105631666,276.6666666666667,7.09,,,266.82431,29.48833333333333
2023,222,9,253.82932166301967,0.0,2.01,35.6505,30.58000000000004,3.948565659384628,276.6666666666667,7.09,,,266.82431,30.595000000000002
2023,222,10,310.9956236323851,0.0,1.51,35.998,32.27000000000004,4.104987814970626,,,,,,30.81222222222222
2023,222,11,392.2319474835886,0.0,1.01,37.592,34.10000000000002,4.59493008321264,,,,,,31.438333333333333
2023,222,12,327.4070021881838,6.32,1.51,38.256,35.900000000000034,4.826985670992897,,,,2.19625,,32.48555555555556
2023,222,13,393.3260393873085,0.0,1.51,39.8715,37.57000000000005,5.425674886725627,,,,,,33.36833333333333
2023,222,14,332.33041575492337,0.0,1.76,39.903,39.06,5.526608201714981,,,,,,34.404444444444444
2023,222,15,265.59080962800874,0.0,1.51,40.588,40.170000000000016,5.8499138874034,251.42857142857144,9.929999999999998,,,384.3310714285714,35.02444444444444
2023,222,16,175.87527352297593,0.0,1.76,40.747,40.80000000000001,5.937892331646648,251.42857142857144,9.929999999999998,,,384.3310714285714,35.340555555555554
2023,222,17,104.48577680525165,0.0,1.26,40.8475,40.920000000000016,5.985061724804861,251.42857142857144,9.929999999999998,,,384.3310714285714,34.42611111111111
2023,222,18,34.19037199124726,6.32,2.265,39.349,40.59000000000003,5.490065378884103,,,,,,33.019444444444446
2023,222,19,0.5470459518599562,0.0,1.26,38.018,39.879999999999995,5.004210533689502,,,,,,33.61277777777778
2023,222,20,0.0,0.0,2.265,37.6045,38.21000000000003,4.8965806057232975,,,,,,33.98888888888889
2023,222,21,0.0,0.0,3.775,35.8915,36.54000000000002,4.414973201983281,,,,,,35.16833333333333
2023,222,22,0.0,0.0,3.775,34.7435,35.07000000000005,3.9858423239508767,,,,,,34.00666666666667
2023,222,23,0.0,0.0,3.27,33.9665,33.650000000000034,3.7429955989211674,,,,,,32.81333333333333
2023,223,0,0.0,3.16,2.77,32.9625,32.32000000000005,3.4531587317489953,,,,,,32.03111111111111
2023,223,1,0.0,0.0,2.01,32.3555,31.140000000000043,3.264369766431264,,,,,,30.95444444444444
2023,223,2,0.0,0.0,2.015,31.6765,30.0,3.064324393459287,,,,,,30.055
2023,223,3,0.0,0.0,0.755,30.9755,28.930000000000007,2.8660690268945967,,,,,,28.36388888888889
2023,223,4,0.0,0.0,0.25,29.941,27.99000000000001,2.644245259887029,,,,,,27.922222222222224
2023,223,5,1.0940919037199124,0.0,0.0,29.7525,27.180000000000007,2.559252292478174,,,,,,26.269444444444446
2023,223,6,19.14660831509847,3.16,0.0,29.9955,26.52000000000004,2.5188456628330633,,,,,,25.299444444444443
2023,223,7,87.25382932166302,0.0,0.25,32.227,26.760000000000048,3.079345564303831,,,,,,25.836666666666666
2023,223,8,133.4792122538293,0.0,0.5,33.328,27.980000000000015,3.4016250022368406,,,,,,26.91166666666667
2023,223,9,271.33479212253826,0.0,1.01,35.7335,29.470000000000027,4.022305132357565,,,,,,28.367222222222225
2023,223,10,300.6017505470459,0.0,1.01,36.3215,31.120000000000005,4.275291722743616,,,,,,30.44888888888889
2023,223,11,409.4638949671772,0.0,1.51,37.769,32.860000000000014,4.757117234907883,,,,,,30.987777777777776
2023,223,12,399.0700218818381,3.16,1.76,37.838,34.58000000000004,4.758505927358701,,,,,,32.642222222222216
2023,223,13,365.4266958424507,0.0,1.76,39.786,36.18000000000001,5.357170803520761,,,,,,33.41
2023,223,14,320.02188183807436,0.0,1.76,39.631,37.64000000000004,5.414316933310006,,,,,,34.419999999999995
2023,223,15,216.90371991247264,0.0,1.76,40.418,38.77000000000004,5.699180731060055,,,,,,34.745
2023,223,16,75.21881838074398,0.0,1.51,38.254,39.43000000000001,5.021405052509085,,,,,,33.705555555555556
2023,223,17,82.87746170678336,0.0,2.015,39.0365,39.610000000000014,5.198977349990817,,,,,,31.390555555555554
2023,223,18,26.531728665207876,3.16,2.52,37.9365,39.35000000000002,4.886375736538739,,,,,,33.45388888888888
2023,223,19,0.5470459518599562,0.0,2.265,36.824,38.610000000000014,4.540557456233463,,,,,,32.62944444444444
2023,223,20,0.0,0.0,2.01,36.187,37.03000000000003,4.2919475900746304,,,,,,33.68222222222222
2023,223,21,0.0,0.0,1.51,35.529,35.5,4.101831401470977,,,,,,33.51222222222222
